epoch,train_loss,valid_loss,gradient_norm,lr
1,5.267427835530962,4.066568338202077,3.3621416946319997,0.001
2,4.30980780179158,3.6912768780779346,2.878032641199262,0.001
3,3.9471586578228464,3.53865939715443,2.5341970235007616,0.001
4,3.723188773743377,3.3963757315310987,2.3030890590501727,0.001
5,3.5586204469480798,3.355071089153962,2.138930550410886,0.001
6,3.430347971685419,3.275649622302091,2.015829040532226,0.001
7,3.317371570196122,3.220967793883109,1.9210471866887584,0.001
8,3.2272029576766594,3.181204666288875,1.8402164380094703,0.001
9,3.1456973727262887,3.1572932412283268,1.7707693315406707,0.001
10,3.0705568355992314,3.0957973599348705,1.7140743516817842,0.001
11,3.001285213969206,3.115072179353788,1.6606628031250559,0.001
12,2.9389292986449305,3.079753186385314,1.6208693560072993,0.001
13,2.8820512872860777,3.049247020296796,1.5806924575628274,0.001
14,2.829653100181681,3.028213934541198,1.5490855883819659,0.001
15,2.777092588167134,2.9758922313430847,1.5174340886467552,0.001
